objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
bdr034,"Truck bed with water bottles, paint thinner, duct tape",Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr034,Image,image/jpg,,,,image,/objects/bdr034.jpeg,/objects/small/bdr034_sm.jpg,/objects/thumbs/bdr034_th.jpg,,
bdr035,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr035,Image,image/jpg,,,,image,/objects/bdr035.jpeg,/objects/small/bdr035_sm.jpg,/objects/thumbs/bdr035_th.jpg,,
bdr036,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr036,Image,image/jpg,,,,image,/objects/bdr036.jpeg,/objects/small/bdr036_sm.jpg,/objects/thumbs/bdr036_th.jpg,,
bdr037,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr037,Image,image/jpg,,,,image,/objects/bdr037.jpeg,/objects/small/bdr037_sm.jpg,/objects/thumbs/bdr037_th.jpg,,
bdr038,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr038,Image,image/jpg,,,,image,/objects/bdr038.jpeg,/objects/small/bdr038_sm.jpg,/objects/thumbs/bdr038_th.jpg,,
bdr039,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr039,Image,image/jpg,,,,image,/objects/bdr039.jpeg,/objects/small/bdr039_sm.jpg,/objects/thumbs/bdr039_th.jpg,,
bdr040,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr040,Image,image/jpg,,,,image,/objects/bdr040.jpeg,/objects/small/bdr040_sm.jpg,/objects/thumbs/bdr040_th.jpg,,
bdr041,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr041,Image,image/jpg,,,,image,/objects/bdr041.jpeg,/objects/small/bdr041_sm.jpg,/objects/thumbs/bdr041_th.jpg,,
bdr042,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr042,Image,image/jpg,,,,image,/objects/bdr042.jpeg,/objects/small/bdr042_sm.jpg,/objects/thumbs/bdr042_th.jpg,,
bdr043,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr043,Image,image/jpg,,,,image,/objects/bdr043.jpeg,/objects/small/bdr043_sm.jpg,/objects/thumbs/bdr043_th.jpg,,
bdr044,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr044,Image,image/jpg,,,,image,/objects/bdr044.jpeg,/objects/small/bdr044_sm.jpg,/objects/thumbs/bdr044_th.jpg,,
bdr045,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr045,Image,image/jpg,,,,image,/objects/bdr045.jpeg,/objects/small/bdr045_sm.jpg,/objects/thumbs/bdr045_th.jpg,,
bdr046,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr046,Image,image/jpg,,,,image,/objects/bdr046.jpeg,/objects/small/bdr046_sm.jpg,/objects/thumbs/bdr046_th.jpg,,
bdr047,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr047,Image,image/jpg,,,,image,/objects/bdr047.jpeg,/objects/small/bdr047_sm.jpg,/objects/thumbs/bdr047_th.jpg,,
bdr048,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr048,Image,image/jpg,,,,image,/objects/bdr048.jpeg,/objects/small/bdr048_sm.jpg,/objects/thumbs/bdr048_th.jpg,,
bdr049,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr049,Image,image/jpg,,,,image,/objects/bdr049.jpeg,/objects/small/bdr049_sm.jpg,/objects/thumbs/bdr049_th.jpg,,
bdr050,placeholder title,Mountain Minutemen,,,,,,,Mountain Minutmen website (defunct),bdr050,Image,image/jpg,,,,image,/objects/bdr050.jpeg,/objects/small/bdr050_sm.jpg,/objects/thumbs/bdr050_th.jpg,,
